1.00000000,0.00000000
2.00000000,0.00074000
3.00000000,0.00288317
4.00000000,0.00865039
5.00000000,0.01181333
6.00000000,0.01171247
7.00000000,0.01053760
8.00000000,0.00941591
9.00000000,0.00977215
10.00000000,0.01069178
11.00000000,0.01257878
12.00000000,0.01222282
13.00000000,0.01155819
14.00000000,0.01094695
15.00000000,0.00951701
16.00000000,0.00865039
17.00000000,0.01155819
18.00000000,0.01298834
19.00000000,0.01181333
20.00000000,0.01094695
21.00000000,0.01181333
22.00000000,0.01069178
23.00000000,0.00824127
24.00000000,0.00584348
25.00000000,0.00645523
26.00000000,0.00788487
27.00000000,0.00747582
28.00000000,0.00635382
29.00000000,0.00620009
30.00000000,0.00456761
31.00000000,0.00517950
32.00000000,0.00507796
33.00000000,0.00492435
34.00000000,0.00533313
35.00000000,0.00747582
36.00000000,0.00916073
37.00000000,0.00900671
38.00000000,0.00992625
39.00000000,0.01053760
40.00000000,0.00992625
41.00000000,0.01232363
42.00000000,0.01579525
43.00000000,0.02099865
44.00000000,0.02191942
45.00000000,0.01997806
46.00000000,0.01732629
47.00000000,0.01461996
48.00000000,0.01451938
49.00000000,0.01513025
50.00000000,0.01298834
51.00000000,0.01334422
52.00000000,0.01273316
53.00000000,0.01232363
54.00000000,0.01171247
55.00000000,0.01206848
56.00000000,0.01171247
57.00000000,0.00977215
58.00000000,0.00967108
59.00000000,0.00977215
60.00000000,0.00890556
61.00000000,0.00900671
62.00000000,0.00762969
63.00000000,0.00900671
64.00000000,0.00992625
65.00000000,0.01283392
66.00000000,0.01605042
67.00000000,0.01666114
68.00000000,0.01375386
69.00000000,0.01181333
70.00000000,0.00839521
71.00000000,0.00594494
72.00000000,0.00533313
73.00000000,0.00671038
74.00000000,0.00788487
75.00000000,0.00824127
76.00000000,0.00711934
77.00000000,0.00568979
78.00000000,0.00584348
79.00000000,0.00594494
80.00000000,0.00584348
81.00000000,0.00773097
82.00000000,0.00941591
83.00000000,0.01232363
84.00000000,0.01579525
85.00000000,0.01895747
86.00000000,0.02191942
87.00000000,0.02176409
88.00000000,0.01860216
89.00000000,0.01564055
90.00000000,0.01502973
91.00000000,0.01793688
92.00000000,0.01987803
93.00000000,0.02125380
94.00000000,0.01809181
95.00000000,0.01410966
96.00000000,0.01222282
97.00000000,0.01436481
